15:49:33;712;1023;713;
15:49:34;712;1023;713;
15:49:35;712;1023;713;
15:49:36;712;1023;713;
15:49:37;712;1023;713;
15:49:38;712;1023;713;
15:49:39;712;1023;713;
15:49:40;712;1023;713;
15:49:41;712;1023;713;
15:49:42;712;1023;713;
15:49:43;712;1023;713;
15:49:45;713;1023;713;
15:49:46;712;1023;713;
15:49:47;712;1023;712;
15:49:48;712;1023;713;
15:49:49;712;1023;713;
15:49:50;712;1023;713;
15:49:51;712;1023;712;
15:49:52;712;1023;713;
15:49:53;712;1023;712;
15:49:54;712;1023;713;
15:49:55;712;1023;713;
15:49:56;712;1023;713;
15:49:57;712;1023;713;
15:49:58;712;1023;713;
15:49:59;712;1023;713;
15:50:00;712;1023;712;
15:50:01;712;1023;713;
15:50:02;712;1023;713;
15:50:03;712;1023;712;
15:50:04;712;1023;713;
15:50:05;712;1023;713;
15:29:01;712;1023;713;;11708
15:29:02;712;1023;713;;11660
15:29:02;712;1023;713;;11660
15:29:03;712;1023;713;;11660
15:29:03;712;1023;713;;11760
15:29:04;712;1023;713;;11684
15:29:04;712;1023;713;;11660
15:29:05;712;1023;713;;11712
15:29:06;712;1023;712;;11640
15:29:06;712;1023;712;;11736
15:29:07;712;1023;713;;11612
15:29:07;712;1023;713;;11636
15:29:08;712;1023;713;;11712
15:29:08;712;1023;713;;10924
15:29:09;712;1023;713;;10916
15:29:09;712;1023;713;;10916
15:29:10;712;1023;712;;10968
15:29:10;712;1023;712;;11636
15:29:11;712;1023;713;;10992
15:29:11;712;1023;713;;10896
15:29:29;712;1023;712;;10972
15:29:29;712;1023;712;;11044
15:29:30;712;1023;712;;792
15:29:30;712;1023;712;;744
15:29:31;712;1023;712;;748
15:29:34;712;1023;712;;712
15:29:34;712;1023;712;;736
15:29:35;712;1023;712;;712
15:29:35;712;1023;712;;768
15:29:36;712;1023;712;;892
15:29:36;712;1023;712;;872
15:29:37;712;1023;712;;824
15:29:37;712;1023;712;;848
15:29:38;712;1023;712;;848
15:29:38;712;1023;712;;844
15:29:41;712;1023;712;;10816
15:29:41;712;1023;712;;10864
15:29:42;712;1023;712;;10792
15:29:42;712;1023;712;;10788
15:29:43;712;1023;712;;10764
15:29:43;712;1023;712;;10812
15:29:44;712;1023;712;;10884
15:29:44;712;1023;712;;10788
15:29:45;712;1023;712;;10860
15:29:45;712;1023;712;;10808
15:29:46;712;1023;712;;10784
15:29:46;712;1023;712;;10784
15:29:47;712;1023;712;;10812
15:29:47;712;1023;712;;900
15:29:48;712;1023;712;;912
15:29:48;712;1023;712;;1008
15:29:49;712;1023;712;;10836
15:29:49;712;1023;712;;10960
15:29:50;712;1023;712;;10832
15:29:50;712;1023;712;;10760
15:29:51;712;1023;712;;10784
15:29:51;712;1023;712;;10788
15:29:52;599;733;583;;10788
15:29:52;599;733;583;;10888
15:29:53;435;440;434;;10864
15:29:53;435;440;434;;10864
15:29:54;435;440;435;;10864
15:29:54;435;440;435;;10788
15:29:55;435;441;435;;10840
15:29:55;435;441;435;;10788
15:29:56;514;642;531;;10760
15:29:56;514;642;531;;10816
15:29:57;712;1023;712;;10912
15:29:57;712;1023;712;;10788
15:29:58;712;1023;712;;10816
15:29:58;712;1023;712;;10812
15:29:59;712;1023;712;;10912
