12:31:57;617;690;602;
12:31:57;618;742;618;
12:31:58;616;737;616;
12:31:59;616;737;616;
12:32:00;616;736;616;
12:32:01;616;736;616;
12:32:02;616;735;616;
12:32:03;616;735;616;
12:32:04;615;734;616;
12:32:05;615;733;615;
12:32:06;615;732;615;
12:32:07;615;732;615;
12:32:08;614;731;614;
12:32:09;614;730;614;
12:32:10;614;729;614;
12:32:11;613;728;614;
12:32:27;603;696;601;;7684
12:32:28;603;701;603;;11524
12:32:28;603;701;603;;3832
12:32:29;603;700;603;;1148
12:32:29;603;700;603;;18748
12:32:30;602;700;602;;4016
12:32:30;602;700;602;;17256
12:32:32;602;699;602;;136
12:32:33;602;699;602;;9468
12:32:33;602;699;602;;1392
12:32:34;602;698;602;;3040
12:32:34;602;698;602;;20668
12:32:35;601;698;602;;2912
12:32:35;601;698;602;;524
12:32:36;601;698;602;;19596
12:32:36;601;698;602;;5216
12:32:37;601;698;601;;19348
12:32:37;601;698;601;;3772
12:32:38;601;697;601;;1352
12:32:38;601;697;601;;14792
12:32:39;601;697;601;;6304
12:32:40;601;697;601;;3828
12:32:40;601;697;601;;17676
12:32:41;601;696;601;;4440
12:32:41;601;696;601;;920
12:32:42;601;697;601;;1700
12:32:42;601;697;601;;14152
12:32:43;600;696;600;;3144
12:32:43;600;696;600;;836
12:32:44;598;690;598;;52
12:32:44;598;690;598;;17924
12:32:45;597;688;597;;5324
12:32:45;597;688;597;;19768
12:32:46;597;687;597;;5460
12:32:46;597;687;597;;20032
12:32:47;596;686;596;;3984
12:32:47;596;686;596;;1848
12:32:48;633;814;639;;19412
12:32:48;633;814;639;;3676
12:32:49;712;1020;713;;1352
12:32:49;712;1020;713;;3868
12:32:50;698;983;698;;16040
12:32:50;698;983;698;;960
12:32:51;672;890;667;;1548
12:32:51;672;890;667;;1504
12:32:52;633;797;632;;240
12:32:52;633;797;632;;2024
12:32:53;622;761;623;;680
12:32:53;622;761;623;;14712
12:32:54;619;750;620;;6604
12:32:54;619;750;620;;268
12:32:55;617;741;617;;14556
12:32:55;617;741;617;;1540
12:32:56;613;726;612;;692
12:32:56;613;726;612;;4812
12:32:57;609;717;609;;960
12:32:57;609;717;609;;432
12:32:58;607;714;608;;14080
12:32:58;607;714;608;;8296
12:32:59;606;712;607;;1796
12:32:59;606;712;607;;10228
12:33:00;606;711;606;;10044
12:33:00;606;711;606;;3828
12:33:01;606;709;606;;19228
12:33:01;606;709;606;;3108
12:33:02;605;706;604;;3420
12:33:02;605;706;604;;2124
12:33:03;604;705;604;;16336
12:33:03;604;705;604;;5384
12:33:04;604;704;604;;10920
12:33:04;604;704;604;;8036
12:33:05;603;704;603;;624
12:33:05;603;704;603;;6184
12:33:06;603;704;603;;9144
12:33:06;603;704;603;;1616
12:33:07;603;703;603;;516
12:33:07;603;703;603;;3240
12:33:08;603;702;603;;15728
12:33:08;603;702;603;;7404
12:33:09;603;702;603;;5300
12:33:09;603;702;603;;3556
12:33:10;602;701;602;;11420
12:33:10;602;701;602;;708
12:33:13;602;701;602;;592
12:33:13;602;701;602;;11940
12:33:14;602;700;602;;9668
12:33:14;602;700;602;;11128
12:33:15;602;699;602;;8492
12:33:15;602;699;602;;1488
12:33:16;601;699;601;;12584
12:33:16;601;699;601;;3868
12:33:17;601;698;601;;2944
12:33:17;601;698;601;;5284
12:33:18;601;698;601;;1776
12:33:18;601;698;601;;11192
12:33:19;601;697;601;;4396
12:33:19;601;697;601;;3268
12:33:20;601;697;601;;3736
12:33:20;601;697;601;;2536
12:33:21;601;697;601;;6964
12:33:21;601;697;601;;9476
12:33:22;601;697;601;;1804
12:33:22;601;697;601;;424
12:33:23;600;697;600;;4080
12:33:23;600;697;600;;7844
12:33:24;600;696;600;;5876
12:33:24;600;696;600;;1772
12:33:25;600;696;600;;3584
12:33:25;600;696;600;;6916
12:33:26;600;696;600;;6628
12:33:26;600;696;600;;2488
12:33:27;600;696;600;;9064
12:33:27;600;696;600;;8872
12:33:28;600;695;600;;6308
12:33:28;600;695;600;;8344
12:33:29;600;695;600;;5800
12:33:29;600;695;600;;4228
12:33:30;600;695;600;;14588
12:33:30;600;695;600;;8436
12:33:31;600;695;600;;2512
12:33:31;600;695;600;;6640
12:33:32;600;695;600;;9444
12:33:32;600;695;600;;5136
12:33:33;600;695;600;;1592
12:33:33;600;695;600;;11336
12:33:34;599;694;599;;14464
12:33:34;599;694;599;;3484
12:33:35;599;694;599;;7336
12:33:35;599;694;599;;4272
12:33:36;599;694;599;;3112
12:33:36;599;694;599;;4452
12:33:37;599;694;599;;13276
12:33:37;599;694;599;;3924
12:33:38;599;694;599;;1252
12:33:38;599;694;599;;416
12:33:39;599;693;599;;68
12:33:39;599;693;599;;4776
12:33:40;598;692;599;;2472
12:33:40;598;692;599;;3108
12:33:41;599;693;599;;1240
12:33:41;599;693;599;;18916
12:33:42;599;694;599;;22948
12:33:43;600;695;600;;11816
12:33:43;600;695;600;;17784
12:33:44;600;696;600;;2944
12:33:44;600;696;600;;5728
12:33:45;600;696;600;;1336
12:33:45;600;696;600;;7572
12:33:46;600;696;600;;8308
12:33:46;600;696;600;;144
12:33:47;600;696;600;;19160
12:33:47;600;696;600;;320
12:33:48;600;697;600;;1004
12:33:48;600;697;600;;360
12:33:49;600;697;601;;18916
12:33:49;600;697;601;;2568
12:33:50;601;698;601;;19404
12:33:50;601;698;601;;4496
12:33:51;601;698;601;;19720
12:33:51;601;698;601;;3288
12:33:52;601;699;601;;19828
12:33:52;601;699;601;;4828
12:33:53;601;699;601;;15956
12:33:53;601;699;601;;7204
12:33:54;601;699;601;;20084
12:33:54;601;699;601;;1156
12:33:55;601;700;601;;19924
12:33:55;601;700;601;;3336
12:33:56;601;699;601;;312
12:33:56;601;699;601;;16480
12:33:57;601;700;601;;6700
12:33:57;601;700;601;;544
12:33:58;602;700;602;;19488
12:33:58;602;700;602;;3196
12:33:59;602;701;602;;272
12:33:59;602;701;602;;19400
12:34:00;602;701;602;;3212
12:34:00;602;701;602;;668
12:34:01;602;701;602;;19692
12:34:01;602;701;602;;3812
12:34:02;602;701;602;;1328
12:34:02;602;701;602;;19048
12:34:03;602;701;602;;4936
12:34:03;602;701;602;;1028
12:34:04;602;702;602;;372
12:34:04;602;702;602;;18268
12:34:05;602;702;602;;5796
12:34:05;602;702;602;;116
12:34:06;602;702;602;;17056
12:34:06;602;702;602;;6492
12:34:07;602;702;602;;15080
12:34:07;602;702;602;;9584
12:34:09;602;703;602;;484044
12:34:10;603;703;603;;3004
12:34:10;603;703;603;;145552
12:34:11;603;703;603;;10892
12:34:11;603;703;603;;2400
12:34:12;603;704;603;;21264
12:34:12;603;704;603;;4268
12:34:13;603;704;603;;84
12:34:13;603;704;603;;20068
12:34:14;603;704;603;;5644
12:34:14;603;704;603;;19740
12:34:15;603;705;603;;4084
12:34:15;603;705;603;;19616
12:34:16;603;705;603;;3504
12:34:16;603;705;603;;19608
12:34:17;603;705;603;;8024
12:34:17;603;705;603;;752
12:34:18;603;705;603;;20104
12:34:18;603;705;603;;4632
12:34:19;603;705;603;;1900
12:34:19;603;705;603;;18076
12:34:20;603;706;603;;3288
12:34:20;603;706;603;;964
12:34:21;604;706;604;;2268
12:34:21;604;706;604;;8364
12:34:22;604;706;604;;6980
12:34:22;604;706;604;;8416
12:34:23;604;707;604;;8336
12:34:23;604;707;604;;7208
12:34:24;604;707;604;;6636
12:34:24;604;707;604;;7032
12:34:25;604;707;604;;8444
12:34:25;604;707;604;;8392
12:34:26;604;707;604;;8420
12:34:27;604;707;604;;8496
12:34:27;604;707;604;;8476
12:34:28;604;708;604;;8476
12:34:28;604;708;604;;8396
12:34:29;604;708;604;;8344
12:34:29;604;708;604;;8420
12:34:30;604;709;605;;8372
12:34:30;604;709;605;;8400
12:34:31;605;709;605;;8500
12:34:31;605;709;605;;8396
12:34:32;605;709;605;;8368
12:34:32;605;709;605;;8472
12:34:33;605;709;605;;8348
12:34:33;605;709;605;;8372
12:34:34;605;709;605;;8396
12:34:34;605;709;605;;8344
12:34:35;605;709;605;;8348
12:34:35;605;709;605;;8292
12:34:36;605;709;605;;8424
12:34:36;605;709;605;;8164
12:34:37;605;710;605;;8424
12:34:37;605;710;605;;8192
12:34:38;605;710;605;;8452
12:34:38;605;710;605;;8088
12:34:39;605;710;605;;8136
12:34:39;605;710;605;;8168
12:34:40;605;710;605;;8500
12:34:40;605;710;605;;8368
12:34:41;605;710;605;;8344
12:34:41;605;710;605;;8500
12:34:46;605;711;605;;8484
12:34:46;605;711;605;;8472
12:34:47;605;711;605;;4584
12:34:47;605;711;605;;2976
12:34:48;605;712;606;;1048
12:34:48;605;712;606;;8400
12:34:49;605;711;605;;4328
12:34:49;605;711;605;;3036
12:34:50;605;712;605;;2908
12:34:50;605;712;605;;7184
12:34:51;605;712;605;;2072
12:34:51;605;712;605;;6472
12:34:52;605;712;606;;2080
12:34:52;605;712;606;;2740
12:34:53;606;712;606;;2700
12:34:53;606;712;606;;2828
12:34:54;606;712;606;;2624
12:34:54;606;712;606;;3064
12:34:55;606;712;606;;1160
12:34:55;606;712;606;;1044
12:34:56;606;712;606;;1340
12:34:56;606;712;606;;1396
12:34:57;606;713;606;;8192
12:34:57;606;713;606;;1268
12:34:58;606;713;606;;6896
12:34:58;606;713;606;;6840
12:34:59;606;713;606;;1236
12:34:59;606;713;606;;1276
12:35:00;606;713;606;;1252
12:35:00;606;713;606;;1260
12:35:01;606;713;606;;1280
12:35:01;606;713;606;;1304
12:35:02;606;714;606;;6796
12:35:02;606;714;606;;8420
12:35:03;606;713;606;;8448
12:35:03;606;713;606;;8344
12:35:04;606;713;606;;6072
12:35:04;606;713;606;;6320
12:35:05;606;713;606;;6624
12:35:05;606;713;606;;3436
12:35:06;606;714;606;;3464
12:35:06;606;714;606;;3456
12:35:07;606;713;606;;6952
12:35:07;606;713;606;;7084
12:35:08;606;714;606;;8340
12:35:08;606;714;606;;8396
12:35:09;606;714;606;;9120
12:35:09;606;714;606;;7080
12:35:10;606;715;606;;6952
12:35:10;606;715;606;;1988
12:35:11;606;715;606;;1412
12:35:11;606;715;606;;1128
12:35:12;607;715;607;;1076
12:35:12;607;715;607;;1084
12:35:13;607;715;607;;1052
12:35:13;607;715;607;;1060
12:35:14;607;716;607;;1060
12:35:14;607;716;607;;1060
12:35:15;607;716;607;;1120
12:35:15;607;716;607;;1076
12:35:16;607;716;607;;1108
12:35:16;607;716;607;;1144
12:35:17;607;716;607;;1148
12:35:17;607;716;607;;1160
12:35:18;607;716;607;;1692
12:35:18;607;716;607;;2004
12:35:19;607;717;607;;2268
12:35:19;607;717;607;;2424
12:35:20;607;717;607;;2848
12:35:20;607;717;607;;3132
12:35:21;607;716;607;;3220
12:35:21;607;716;607;;3196
12:35:22;607;717;607;;3184
12:35:22;607;717;607;;3132
12:35:23;607;718;608;;6076
12:35:23;607;718;608;;6824
12:35:24;607;717;607;;6620
12:35:24;607;717;607;;6396
12:35:25;607;717;607;;6896
12:35:25;607;717;607;;8364
12:35:26;607;718;607;;6876
12:35:26;607;718;607;;7688
12:35:27;608;718;608;;7232
12:35:27;608;718;608;;6876
12:35:28;608;718;608;;7388
12:35:28;608;718;608;;4728
12:35:29;608;718;608;;4608
12:35:29;608;718;608;;4320
12:35:30;608;719;608;;4260
12:35:30;608;719;608;;4264
12:35:31;608;719;608;;8148
12:35:31;608;719;608;;4252
12:35:32;608;720;608;;4256
12:35:32;608;720;608;;4260
12:35:33;608;719;608;;4280
12:35:33;608;719;608;;4312
12:35:34;608;720;608;;4396
12:35:34;608;720;608;;4368
12:35:35;608;720;608;;4284
12:35:35;608;720;608;;4280
12:35:36;608;721;609;;4288
12:35:36;608;721;609;;4352
12:35:37;608;720;608;;4276
12:35:38;609;721;609;;4300
12:35:38;609;721;609;;4256
12:35:39;609;721;609;;4492
12:35:39;609;721;609;;4300
12:35:40;609;721;609;;4260
12:35:40;609;721;609;;4260
12:35:41;609;721;609;;4260
12:35:41;609;721;609;;4332
12:35:42;609;722;609;;4228
12:35:42;609;722;609;;6580
12:35:43;609;722;609;;7308
12:35:43;609;722;609;;7252
12:35:44;609;722;609;;7184
12:35:44;609;722;609;;6548
12:35:45;609;722;609;;7032
12:35:45;609;722;609;;8364
12:35:46;609;723;609;;6588
12:35:46;609;723;609;;8420
12:35:47;609;723;610;;7176
12:35:47;609;723;610;;8344
12:35:48;610;724;610;;8532
12:35:48;610;724;610;;7740
12:35:49;610;723;610;;11132
12:35:49;610;723;610;;8416
12:35:50;610;724;610;;4680
12:35:50;610;724;610;;8372
12:35:51;610;724;610;;8472
12:35:51;610;724;610;;8444
12:35:52;610;724;610;;8392
12:35:52;610;724;610;;6240
12:35:53;610;724;610;;6300
12:35:53;610;724;610;;6004
12:35:54;610;724;610;;6016
12:35:54;610;724;610;;8444
12:35:55;610;725;610;;9328
12:35:55;610;725;610;;7108
12:35:56;610;725;610;;4712
12:35:56;610;725;610;;8344
12:35:57;610;725;610;;8340
12:35:57;610;725;610;;6836
12:35:58;610;726;610;;8480
12:35:58;610;726;610;;8396
12:35:59;610;726;611;;8392
12:35:59;610;726;611;;8360
12:36:00;611;726;611;;8416
12:36:00;611;726;611;;8364
12:36:01;611;726;611;;8364
12:36:01;611;726;611;;8364
12:36:02;611;727;611;;8336
12:36:02;611;727;611;;8388
12:36:03;611;727;611;;8420
12:36:03;611;727;611;;8336
12:36:04;611;727;611;;8368
12:36:04;611;727;611;;8372
12:36:05;611;727;611;;8364
12:36:05;611;727;611;;8400
12:36:06;611;728;611;;8392
12:36:06;611;728;611;;8496
12:36:07;611;728;611;;8948
12:36:07;611;728;611;;9252
12:36:08;611;728;611;;8892
12:36:08;611;728;611;;7132
12:36:09;611;728;611;;3276
12:36:09;611;728;611;;8444
12:36:10;611;729;611;;8416
12:36:10;611;729;611;;8492
12:36:11;612;730;612;;8392
12:36:11;612;730;612;;8392
12:36:12;612;730;612;;8500
12:36:12;612;730;612;;8420
12:36:13;612;729;612;;8472
12:36:13;612;729;612;;8472
12:36:14;612;730;612;;7564
12:36:14;612;730;612;;8448
12:36:15;612;731;612;;8452
12:36:15;612;731;612;;8448
12:36:16;612;731;612;;8484
12:36:16;612;731;612;;8448
12:36:17;612;731;612;;7536
12:36:17;612;731;612;;8600
12:36:18;612;731;612;;8496
12:36:18;612;731;612;;8448
12:36:19;612;732;612;;8468
12:36:19;612;732;612;;8420
12:36:20;611;728;611;;8400
12:36:21;611;727;611;;8364
12:36:21;611;727;611;;8396
12:36:22;611;727;611;;8416
12:36:22;611;727;611;;8376
12:36:23;611;728;611;;8444
12:36:23;611;728;611;;8396
12:36:24;611;728;611;;8344
12:36:24;611;728;611;;8392
12:36:25;611;728;611;;8368
12:36:25;611;728;611;;8424
12:36:26;611;729;612;;8448
12:36:26;611;729;612;;8396
12:36:27;612;730;612;;8396
12:36:27;612;730;612;;8500
12:36:28;612;730;612;;8368
12:36:28;612;730;612;;8400
12:36:29;612;730;612;;8464
12:36:29;612;730;612;;8472
12:36:30;612;731;612;;8344
12:36:30;612;731;612;;8704
12:36:31;612;731;612;;8488
12:36:31;612;731;612;;8392
12:36:32;612;731;612;;8424
12:36:32;612;731;612;;7724
12:36:33;612;731;612;;8400
12:36:33;612;731;612;;8376
12:36:34;612;732;612;;8480
12:36:34;612;732;612;;8420
12:36:35;612;732;613;;8368
12:36:35;612;732;613;;8396
12:36:36;613;732;613;;8392
12:36:36;613;732;613;;8448
12:36:37;613;732;613;;8396
12:36:37;613;732;613;;8416
12:36:38;613;733;613;;8420
12:36:38;613;733;613;;8396
12:36:39;613;733;613;;8340
12:36:39;613;733;613;;8396
12:36:40;613;733;613;;8392
12:36:40;613;733;613;;8376
12:36:41;613;734;613;;8444
12:36:41;613;734;613;;8572
12:36:42;613;734;613;;8420
12:36:42;613;734;613;;8376
12:36:43;613;735;614;;8420
12:36:43;613;735;614;;8392
12:36:44;613;735;613;;8392
12:36:44;613;735;613;;8396
12:36:45;614;735;614;;8364
12:36:45;614;735;614;;8392
12:36:46;614;736;614;;8396
12:36:46;614;736;614;;8364
12:36:47;614;737;614;;8424
12:36:47;614;737;614;;8396
12:36:48;614;737;614;;8416
12:36:48;614;737;614;;8372
12:36:49;614;737;614;;8424
12:36:49;614;737;614;;8072
12:36:50;615;738;615;;7824
12:36:50;615;738;615;;8416
12:36:51;615;739;615;;8444
12:36:51;615;739;615;;8368
12:36:52;615;738;615;;8448
12:36:52;615;738;615;;8416
12:36:53;615;739;615;;8420
12:36:53;615;739;615;;8368
