15:56:22;710;1023;711;
15:56:23;710;1023;711;
15:56:24;710;1023;711;
15:56:25;710;1023;711;
15:56:26;710;1023;711;
15:56:27;710;1023;711;
15:56:28;710;1023;711;
15:56:29;710;1023;711;
15:56:30;710;1023;711;
15:56:31;710;1023;711;
15:56:32;710;1023;711;
15:56:32;720;1023;711;
15:56:33;711;1023;711;
15:56:34;710;1023;711;
15:56:35;710;1023;711;
15:56:36;710;1023;711;
15:56:37;710;1023;711;
15:56:38;710;1023;711;
15:56:39;710;1023;711;
15:56:40;710;1023;711;
15:56:41;710;1023;711;
15:56:42;710;1023;711;
15:56:43;710;1023;711;
15:56:44;710;1023;711;
15:56:45;710;1023;711;
15:56:46;710;1023;711;
15:56:47;710;1023;711;
15:56:48;710;1023;711;
15:56:49;710;1023;711;
15:56:50;710;1023;711;
15:56:51;710;1023;711;
15:56:52;710;1023;711;
15:56:53;710;1023;711;
15:56:54;710;1023;711;
15:56:55;710;1023;711;
15:56:56;710;1023;711;
15:56:57;710;1023;711;
15:56:58;710;1023;711;
15:56:59;710;1023;711;
15:57:00;710;1023;711;
15:57:01;710;1023;711;
15:57:02;710;1023;711;
15:57:03;710;1023;711;
15:57:04;710;1023;711;
15:57:05;710;1023;711;
15:57:06;710;1023;711;
15:57:07;710;1023;711;
15:57:08;710;1023;711;
15:57:09;710;1023;711;
15:57:10;710;1023;711;
15:57:11;710;1023;711;
15:57:12;710;1023;711;
15:57:13;710;1023;711;
15:57:14;710;1023;711;
15:57:15;710;1023;711;
15:57:16;710;1023;711;
15:57:17;710;1023;711;
15:57:18;710;1023;711;
15:57:19;710;1023;711;
15:57:20;710;1023;711;
15:36:01;710;1023;711;;10640
15:36:02;710;1023;711;;10688
15:36:02;710;1023;711;;10660
15:36:03;710;1023;711;;10668
15:36:03;710;1023;711;;10712
15:36:04;710;1023;711;;10632
15:36:04;710;1023;711;;10668
15:36:05;710;1023;711;;10708
15:36:05;710;1023;711;;10736
15:36:06;710;1023;711;;10692
15:36:06;710;1023;711;;10760
15:36:07;710;1023;711;;10684
15:36:07;710;1023;711;;10660
15:36:08;710;1023;711;;10636
15:36:08;710;1023;711;;10736
15:36:09;710;1023;711;;10736
15:36:09;710;1023;711;;10664
15:36:10;710;1023;711;;10736
15:36:27;710;1023;710;;10704
15:36:28;710;1023;710;;10672
15:36:28;710;1023;710;;10672
15:36:29;710;1023;710;;10668
15:36:29;710;1023;710;;10720
15:36:30;710;1023;710;;10792
15:36:30;710;1023;710;;10752
15:36:31;710;1023;710;;10668
15:36:31;710;1023;710;;10700
15:36:35;710;1023;710;;10668
15:36:35;710;1023;710;;10720
15:36:36;710;1023;710;;10672
15:36:36;710;1023;710;;10668
15:36:37;710;1023;710;;10668
15:36:37;710;1023;710;;10668
15:36:38;710;1023;710;;10640
15:36:38;710;1023;710;;10768
15:36:39;710;1023;710;;10672
15:36:39;710;1023;710;;10696
15:36:40;710;1023;710;;10672
15:36:40;710;1023;710;;10696
15:36:41;710;1023;710;;10692
15:36:41;710;1023;710;;10696
15:36:42;710;1023;710;;10672
15:36:42;710;1023;710;;10668
15:36:43;710;1023;710;;10672
15:36:43;710;1023;710;;10776
15:36:44;710;1023;710;;10696
15:36:44;710;1023;710;;10700
15:36:45;710;1023;710;;10700
15:36:45;710;1023;710;;10676
15:36:46;710;1023;710;;10720
15:36:46;710;1023;710;;10672
15:36:47;710;1023;710;;10700
15:36:47;710;1023;710;;10744
15:36:48;710;1023;710;;10676
15:36:48;710;1023;710;;10696
15:36:49;710;1023;710;;10796
15:36:49;710;1023;710;;10696
15:36:50;709;1023;710;;10720
15:36:50;709;1023;710;;10724
15:36:51;710;1023;710;;10724
15:36:51;710;1023;710;;10724
15:36:52;710;1023;710;;10696
15:36:53;710;1023;710;;10676
15:36:53;710;1023;710;;10676
15:36:54;710;1023;710;;10676
15:36:54;710;1023;710;;10700
15:36:55;709;1023;709;;10724
15:36:55;709;1023;709;;10680
15:36:56;706;1023;706;;10700
15:36:56;706;1023;706;;10628
15:36:57;706;1023;706;;10672
15:36:57;706;1023;706;;10652
15:36:58;710;1023;710;;10672
15:36:58;710;1023;710;;10724
15:36:59;710;1023;710;;10672
15:36:59;710;1023;710;;10724
15:37:00;710;1023;710;;10704
15:37:00;710;1023;710;;10728
15:37:01;710;1023;710;;10676
15:37:01;710;1023;710;;10776
15:37:02;710;1023;710;;10700
15:37:02;710;1023;710;;10700
15:37:03;710;1023;710;;10684
15:37:03;710;1023;710;;10680
15:37:04;710;1023;710;;10684
15:37:04;710;1023;710;;10700
15:37:05;710;1023;710;;10704
15:37:05;710;1023;710;;10700
15:37:06;710;1023;710;;10696
15:37:06;710;1023;710;;10724
15:37:07;710;1023;710;;10672
15:37:07;710;1023;710;;10696
15:37:08;710;1023;710;;10744
15:37:08;710;1023;710;;10752
15:37:09;710;1023;710;;10700
15:37:09;710;1023;710;;10776
15:37:10;710;1023;710;;10652
15:37:10;710;1023;710;;10676
15:37:11;710;1023;710;;10676
15:37:11;710;1023;710;;10680
15:37:12;710;1023;710;;10752
15:37:12;710;1023;710;;10752
15:37:13;710;1023;710;;10724
15:37:13;710;1023;710;;10748
15:37:14;710;1023;710;;10676
15:37:14;710;1023;710;;10772
15:37:15;710;1023;710;;10704
15:37:15;710;1023;710;;10752
15:37:36;710;1023;710;;10664
15:37:36;710;1023;710;;10640
15:37:37;710;1023;710;;10612
15:37:37;710;1023;710;;10636
15:37:38;710;1023;710;;10636
15:37:38;710;1023;710;;10692
15:37:39;710;1023;710;;10676
15:37:39;710;1023;710;;10596
15:37:40;710;1023;710;;10620
15:37:40;710;1023;710;;10620
15:37:41;710;1023;710;;10620
15:37:41;710;1023;710;;10572
15:37:42;710;1023;710;;10712
15:37:42;710;1023;710;;10592
15:37:43;710;1023;710;;10600
15:37:43;710;1023;710;;10600
15:37:44;710;1023;710;;10644
15:37:44;710;1023;710;;10612
15:37:45;710;1023;710;;10660
15:37:45;710;1023;710;;10636
15:37:46;710;1023;710;;844
15:37:46;710;1023;710;;784
15:37:47;710;1023;710;;788
15:37:47;710;1023;710;;10624
15:37:48;710;1023;710;;198920
15:37:49;710;1023;710;;768
15:37:49;710;1023;710;;10668
15:37:50;710;1023;710;;10696
15:37:50;710;1023;710;;10648
15:37:51;710;1023;710;;10672
15:37:51;710;1023;710;;10668
15:46:08;709;1023;710;;11724
15:46:09;709;1023;709;;11684
15:46:09;709;1023;709;;11700
15:46:10;709;1023;709;;11804
15:46:10;709;1023;709;;11780
15:46:11;709;1023;709;;11648
15:46:11;709;1023;709;;11680
15:46:12;709;1023;709;;11624
15:46:12;709;1023;709;;11652
15:46:13;709;1023;709;;11728
15:46:13;709;1023;709;;11660
15:46:14;709;1023;709;;11752
15:46:14;709;1023;709;;11652
15:46:15;709;1023;709;;11680
15:46:15;709;1023;709;;11756
15:46:16;709;1023;709;;11680
15:46:16;709;1023;709;;11680
15:46:17;709;1023;709;;11680
15:46:17;709;1023;709;;11680
15:46:18;709;1023;709;;11652
15:46:18;709;1023;709;;10984
15:46:19;709;1023;709;;11756
15:46:19;709;1023;709;;11752
15:46:20;709;1023;709;;11648
15:46:20;709;1023;709;;11648
15:46:21;709;1023;709;;11680
15:46:21;709;1023;709;;11724
15:46:22;709;1023;709;;11704
15:46:22;709;1023;709;;11772
15:46:23;709;1023;709;;11676
15:46:23;709;1023;709;;11752
15:46:24;709;1023;709;;11648
15:46:24;709;1023;709;;11648
15:46:25;709;1023;709;;11708
15:46:25;709;1023;709;;11756
15:46:26;709;1023;709;;11704
15:46:27;709;1023;709;;11652
15:46:27;709;1023;709;;11776
15:46:28;709;1023;709;;11652
15:46:28;709;1023;709;;11652
15:46:29;709;1023;709;;11652
15:46:29;709;1023;709;;11676
15:46:30;709;1023;709;;11708
15:46:30;709;1023;709;;11704
15:46:31;709;1023;709;;11652
15:46:31;709;1023;709;;11656
15:46:32;709;1023;709;;11712
15:46:32;709;1023;709;;11728
15:46:33;709;1023;709;;780
15:46:33;709;1023;709;;732
15:46:34;709;1023;709;;804
15:46:34;709;1023;709;;11756
15:46:35;709;1023;709;;11676
15:46:35;709;1023;709;;11656
15:46:36;709;1023;709;;11804
15:46:36;709;1023;709;;11680
15:46:37;709;1023;709;;11704
