15:32:07;606;688;596;
15:32:08;606;718;607;
15:32:08;623;747;617;
15:32:09;609;718;607;
15:32:10;607;719;607;
15:32:11;608;723;608;
15:32:29;628;780;628;;10012
15:32:29;628;780;628;;10968
15:32:30;628;782;629;;10944
15:32:30;628;782;629;;10968
15:32:31;629;784;629;;11020
15:32:34;631;790;631;;10996
15:32:34;631;790;631;;10992
15:32:35;631;792;632;;10184
15:32:35;631;792;632;;10968
15:32:36;632;793;632;;11056
15:32:36;632;793;632;;10968
15:32:37;632;794;632;;10628
15:32:37;632;794;632;;10968
15:32:38;633;797;633;;10040
15:32:38;633;797;633;;1376
15:32:39;633;798;633;;1384
15:32:39;633;798;633;;4652
15:32:40;634;800;634;;11100
15:32:40;634;800;634;;4720
15:32:41;634;801;634;;8396
15:32:41;634;801;634;;1212
15:32:42;635;802;635;;980
15:32:42;635;802;635;;1172
15:32:43;635;804;635;;1336
15:32:43;635;804;635;;6360
15:32:44;636;805;636;;11124
15:32:44;636;805;636;;11040
15:32:45;636;807;636;;11048
15:32:45;636;807;636;;6196
15:32:46;637;809;637;;11052
15:32:46;637;809;637;;6100
15:32:47;637;810;637;;11256
15:32:47;637;810;637;;10388
15:32:48;637;812;638;;11248
15:32:48;637;812;638;;4776
15:32:49;638;812;638;;11020
15:32:49;638;812;638;;4764
15:32:50;638;812;638;;9796
15:32:50;638;812;638;;9276
15:32:51;638;814;638;;4120
15:32:51;638;814;638;;11048
15:32:52;638;814;638;;1320
15:32:52;638;814;638;;1176
15:32:53;638;814;638;;1280
15:32:53;638;814;638;;9892
15:32:54;638;815;639;;9988
15:32:54;638;815;639;;1484
15:32:55;639;815;639;;1200
15:32:55;639;815;639;;1232
15:32:56;639;816;639;;7128
15:32:56;639;816;639;;7864
15:32:57;639;817;639;;1332
15:32:57;639;817;639;;4816
15:32:58;639;818;639;;4740
15:32:58;639;818;639;;9772
15:32:59;640;819;640;;10828
15:32:59;640;819;640;;11096
15:33:00;640;820;640;;9320
15:33:01;640;821;640;;215180
15:33:01;640;821;640;;1536
15:33:02;640;823;641;;4048
15:33:02;640;823;641;;10968
15:33:03;640;821;640;;5988
15:33:03;640;821;640;;214132
15:33:04;640;822;640;;3776
15:33:04;640;822;640;;213988
15:33:05;640;822;640;;4476
15:33:05;640;822;640;;5944
15:33:06;640;822;640;;6380
15:33:06;640;822;640;;2460
15:33:07;641;824;641;;5704
15:33:07;641;824;641;;9236
15:33:08;641;824;641;;9672
15:33:09;641;825;641;;9232
15:33:09;641;825;641;;8268
15:33:10;642;826;642;;3772
15:33:10;642;826;642;;8048
15:33:11;642;827;642;;8024
15:33:11;642;827;642;;8920
15:33:12;642;827;642;;7976
15:33:12;642;827;642;;5612
15:33:13;642;828;642;;6524
15:33:13;642;828;642;;5268
15:33:14;642;828;642;;5376
15:33:14;642;828;642;;5304
15:33:15;642;828;642;;5316
15:33:15;642;828;642;;6704
15:33:16;642;828;642;;8020
15:33:16;642;828;642;;6300
15:33:17;642;829;642;;5452
15:33:17;642;829;642;;6032
15:33:18;642;829;643;;7188
15:33:18;642;829;643;;6304
15:33:19;643;829;643;;6244
15:33:19;643;829;643;;7156
15:33:20;643;830;643;;6172
15:33:20;643;830;643;;3980
15:33:21;643;832;643;;3848
15:33:21;643;832;643;;6264
15:33:22;643;831;643;;6308
15:33:22;643;831;643;;6336
15:33:23;643;832;643;;6200
15:33:23;643;832;643;;7144
15:33:24;643;832;643;;8112
15:33:24;643;832;643;;7000
15:33:25;643;832;643;;6724
15:33:25;643;832;643;;6292
15:33:26;643;832;643;;3780
15:33:26;643;832;643;;7304
15:33:27;643;832;643;;9880
15:33:27;643;832;643;;6088
15:33:28;644;833;644;;3836
15:33:28;644;833;644;;3948
15:33:29;644;834;644;;3912
15:33:29;644;834;644;;6808
15:33:30;644;834;644;;6580
15:33:30;644;834;644;;3744
15:33:31;644;835;644;;3820
15:33:31;644;835;644;;3820
15:33:32;644;836;644;;3744
15:33:32;644;836;644;;3820
15:33:33;644;835;644;;3768
