12:55:35;684;963;680;
12:55:36;686;994;686;
12:55:37;688;999;688;
12:55:37;699;977;683;
12:55:38;690;1002;689;
12:55:39;689;1002;689;
12:55:40;689;1002;689;
12:55:41;689;1002;689;
12:55:42;689;1002;689;
12:55:43;689;1002;689;
12:55:44;689;1002;689;
12:55:45;689;1002;689;
12:55:46;689;1002;689;
12:55:47;689;1002;689;
12:55:48;689;1003;690;
12:55:49;689;1003;690;
12:55:50;690;1003;690;
12:55:51;690;1004;690;
12:55:52;690;1003;690;
12:55:53;690;1003;690;
12:55:54;690;1003;690;
12:55:55;689;1002;690;
12:55:56;689;1001;689;
12:55:57;689;1001;689;
12:55:58;689;1000;689;
12:55:59;689;999;689;
12:56:00;688;999;688;
12:56:16;689;1001;689;;8592
12:56:16;689;1001;689;;10148
12:56:17;689;1001;689;;19572
12:56:17;689;1001;689;;9336
12:56:18;689;1001;689;;1644
12:56:18;689;1001;689;;920
12:56:19;689;1001;689;;13856
12:56:19;689;1001;689;;2312
12:56:20;689;1001;689;;19720
12:56:20;689;1001;689;;6176
12:56:21;689;1001;689;;19820
12:56:23;690;973;682;;15836
12:56:24;689;1000;689;;12100
12:56:24;689;1000;689;;9108
12:56:25;689;1000;689;;8256
12:56:25;689;1000;689;;16072
12:56:26;689;1000;689;;8976
12:56:26;689;1000;689;;12296
12:56:27;689;1000;689;;11520
12:56:27;689;1000;689;;22656
12:56:28;689;1000;689;;132
12:56:28;689;1000;689;;4868
12:56:29;689;1000;689;;996
12:56:29;689;1000;689;;16692
12:56:30;689;1000;689;;224
12:56:30;689;1000;689;;7664
12:56:31;689;1000;689;;15088
12:56:31;689;1000;689;;5320
12:56:32;689;1000;690;;17336
12:56:32;689;1000;690;;10860
12:56:33;689;1000;689;;1444
12:56:33;689;1000;689;;18156
12:56:34;689;1000;689;;6924
12:56:34;689;1000;689;;19180
12:56:35;689;1000;689;;4544
12:56:35;689;1000;689;;240
12:56:36;689;1000;689;;19244
12:56:36;689;1000;689;;22928
12:56:37;689;1001;689;;4852
12:56:37;689;1001;689;;552
12:56:38;689;1000;689;;19556
12:56:38;689;1000;689;;4932
12:56:39;689;1001;689;;15764
12:56:39;689;1001;689;;3700
12:56:40;689;1000;689;;3336
12:56:40;689;1000;689;;712
12:56:41;689;1000;689;;19756
12:56:41;689;1000;689;;3516
12:56:42;689;1000;689;;19088
12:56:42;689;1000;689;;1404
12:56:43;689;1000;689;;2084
12:56:43;689;1000;689;;11536
12:56:44;689;1000;689;;6516
12:56:44;689;1000;689;;25700
12:56:45;689;1000;689;;4320
12:56:45;689;1000;689;;1688
12:56:46;689;1000;689;;19200
12:56:47;689;999;689;;4708
12:56:47;689;999;689;;596
12:56:48;681;965;680;;19864
12:56:48;681;965;680;;20192
12:56:49;673;935;673;;4628
12:56:49;673;935;673;;1416
12:56:50;672;933;673;;956
12:56:50;672;933;673;;2868
12:56:51;677;955;678;;588
12:56:51;677;955;678;;13556
12:56:52;709;1023;710;;5052
12:56:52;709;1023;710;;2196
12:56:53;712;1023;713;;3916
12:56:53;712;1023;713;;17884
12:56:54;714;1023;714;;2980
12:56:54;714;1023;714;;4192
12:56:55;714;1023;715;;1928
12:56:55;714;1023;715;;19836
12:56:56;715;1023;715;;16100
12:56:56;715;1023;715;;3684
12:56:57;715;1023;715;;27668
12:56:57;715;1023;715;;19204
12:56:58;715;1023;715;;8512
12:56:58;715;1023;715;;25816
12:56:59;703;1017;703;;18932
12:56:59;703;1017;703;;3440
12:57:00;689;998;689;;4672
12:57:00;689;998;689;;18844
12:57:01;687;993;687;;10992
12:57:01;687;993;687;;18400
12:57:02;687;991;687;;2216
12:57:02;687;991;687;;6924
12:57:03;686;988;686;;17264
12:57:03;686;988;686;;8104
12:57:04;686;987;686;;2980
12:57:04;686;987;686;;1416
12:57:05;686;987;686;;13512
12:57:05;686;987;686;;11340
12:57:06;686;987;686;;2812
12:57:06;686;987;686;;8608
12:57:07;686;986;686;;14500
12:57:07;686;986;686;;4308
12:57:08;685;985;685;;888
12:57:08;685;985;685;;16052
12:57:09;685;985;686;;9176
12:57:09;685;985;686;;19680
12:57:10;685;985;686;;7540
12:57:10;685;985;686;;728
12:57:11;685;985;685;;532
12:57:11;685;985;685;;20424
12:57:12;685;985;685;;4812
12:57:12;685;985;685;;22988
12:57:13;685;985;685;;624
12:57:13;685;985;685;;19484
12:57:14;685;985;685;;5404
12:57:14;685;985;685;;64
12:57:15;685;985;685;;15952
12:57:15;685;985;685;;12248
12:57:16;685;985;685;;15184
12:57:16;685;985;685;;3184
12:57:17;685;985;685;;1976
12:57:17;685;985;685;;6880
12:57:18;685;984;685;;21276
12:57:19;685;984;685;;16300
12:57:19;685;984;685;;5756
12:57:20;685;984;685;;6836
12:57:20;685;984;685;;16136
12:57:21;685;985;685;;3740
12:57:21;685;985;685;;28
12:57:22;685;985;685;;4744
